securityid,ticker,figi,mindate,maxdate
10110,ALAN,"",2006-11-13 00:00:00,2010-08-26 00:00:00
277,BZ,"",2003-09-10 00:00:00,2013-10-27 00:00:00
246,SYMM,"",2003-09-10 00:00:00,2013-11-26 00:00:00
223,KRT,"",2003-09-10 00:00:00,2005-04-19 00:00:00
259,WLV,"",2003-09-10 00:00:00,2007-01-03 00:00:00
286,EVY,"",2003-09-10 00:00:00,2024-05-18 00:00:00
299,DII,"",2003-09-10 00:00:00,2010-12-20 00:00:00
183,DO,BBG016HKWD35,2003-09-10 00:00:00,2024-09-04 00:00:00
280,LQ,"",2003-09-10 00:00:00,2007-01-07 00:00:00
222,AMB,"",2003-09-10 00:00:00,2011-06-02 00:00:00
247,UTR,"",2003-09-10 00:00:00,2011-08-24 00:00:00
210,EAT,BBG000BK28N7,2003-09-10 00:00:00,
151,DRCO,"",2003-09-10 00:00:00,2014-02-02 00:00:00
12844,AXMT,"",2010-07-20 00:00:00,2014-03-25 00:00:00
224,PMTR,"",2003-09-10 00:00:00,2007-01-08 00:00:00
241,OS,"",2003-09-10 00:00:00,2007-01-24 00:00:00
232,EVF,BBG000CFFPP3,2003-09-10 00:00:00,
12521,TRNO,BBG000PV3J62,2010-02-10 00:00:00,
174,ZANE,"",2003-09-10 00:00:00,2011-10-09 00:00:00
186,MF,"",2003-09-10 00:00:00,2011-11-01 00:00:00
12495,MSGNV,"",2010-01-26 00:00:00,2010-02-09 00:00:00
12522,DSCI,"",2010-02-11 00:00:00,2024-05-18 00:00:00
159,WRLD,BBG000C3G9J2,2003-09-10 00:00:00,
185,KPP,"",2003-09-10 00:00:00,2005-07-04 00:00:00
12523,QNST,BBG000S9XXB8,2010-02-11 00:00:00,
181,MGF,BBG000BNZLT0,2003-09-10 00:00:00,
184,JFBI,"",2003-09-10 00:00:00,2014-06-01 00:00:00
219,FNDT,"",2003-09-10 00:00:00,2011-11-30 00:00:00
261,CGT,BBG000KPFXB0,2003-09-10 00:00:00,2009-07-06 00:00:00
14559,INBK,BBG000LF59X1,2013-02-25 00:00:00,
170,FNSR,"",2003-09-10 00:00:00,2009-09-27 00:00:00
12260,ORNG,"",2009-10-30 00:00:00,2010-03-24 00:00:00
234,HA,BBG000BC4185,2003-09-10 00:00:00,
264,NXJ,BBG000D61W81,2003-09-10 00:00:00,
267,DCGN,"",2003-09-10 00:00:00,2010-01-05 00:00:00
160,CWG,"",2003-09-10 00:00:00,2007-06-04 00:00:00
204,LSS,"",2003-09-10 00:00:00,2007-06-14 00:00:00
215,AWX,BBG000BPSQJ3,2003-09-10 00:00:00,
216,BIO,BBG000DY28W5,2003-09-10 00:00:00,
244,CDX,"",2003-09-10 00:00:00,2005-09-15 00:00:00
218,EMR,BBG000BHX7N2,2003-09-10 00:00:00,
229,AMO,"",2003-09-10 00:00:00,2010-01-28 00:00:00
245,FLDR,"",2003-09-10 00:00:00,2010-01-31 00:00:00
214,VNM,"",2003-09-10 00:00:00,2005-10-30 00:00:00
203,ESC,"",2003-09-10 00:00:00,2014-07-31 00:00:00
12843,AXTE,"",2010-07-20 00:00:00,2012-03-22 00:00:00
196,RVSN,"",2003-09-10 00:00:00,2012-06-05 00:00:00
249,BCK,"",2003-09-10 00:00:00,2010-01-31 00:00:00
177,THC,BBG000CPHYL4,2003-09-10 00:00:00,
188,FCFS,BBG0145KL747,2003-09-10 00:00:00,
233,PLFE,"",2003-09-10 00:00:00,2012-12-30 00:00:00
242,TZG,"",2003-09-10 00:00:00,2014-10-14 00:00:00
157,PZZI,"",2003-09-10 00:00:00,2015-01-08 00:00:00
200,CGNX,BBG000BPBVW5,2003-09-10 00:00:00,
283,RNE,"",2003-09-10 00:00:00,2015-03-22 00:00:00
220,UG,BBG000C2XCD4,2003-09-10 00:00:00,
289,BWS,"",2003-09-10 00:00:00,2015-05-28 00:00:00
231,ENR,BBG006FCB019,2003-09-10 00:00:00,
213,MXT,"",2003-09-10 00:00:00,2005-12-01 00:00:00
171,IVAC,BBG000FN4V45,2003-09-10 00:00:00,
16658,FITS,"",2016-06-09 00:00:00,2017-09-26 00:00:00
227,FLWS,BBG000BBR9P6,2003-09-10 00:00:00,
265,RAS,"",2003-09-10 00:00:00,2024-05-18 00:00:00
208,FIA,"",2003-09-10 00:00:00,2007-08-23 00:00:00
158,RENN,"",2003-09-10 00:00:00,2024-05-18 00:00:00
293,ANN,"",2003-09-10 00:00:00,2015-08-23 00:00:00
302,BITS,BBG013J592N1,2003-09-10 00:00:00,
202,CKP,"",2003-09-10 00:00:00,2016-05-15 00:00:00
